scenario,year,sector,cumulative_units,installed_capacity_gw,annual_generation_twh,avoided_fossil_twh,avoided_co2_mt,share_of_global_electricity_pct,cf_sensitivity_low_twh,cf_sensitivity_high_twh,unit_power_sensitivity_low_twh,unit_power_sensitivity_high_twh,warnings
conservative_local_adoption,2026,urban_drainage_building_water,100,0.000050,0.000063,0.000038,0.0000,0.000000,0.000053,0.000074,0.000044,0.000082,
conservative_local_adoption,2027,urban_drainage_building_water,208,0.000104,0.000131,0.000079,0.0000,0.000000,0.000109,0.000153,0.000092,0.000171,
conservative_local_adoption,2028,urban_drainage_building_water,324,0.000162,0.000205,0.000123,0.0001,0.000001,0.000171,0.000239,0.000143,0.000266,
conservative_local_adoption,2029,urban_drainage_building_water,449,0.000225,0.000284,0.000170,0.0001,0.000001,0.000236,0.000331,0.000199,0.000369,
conservative_local_adoption,2030,urban_drainage_building_water,585,0.000293,0.000370,0.000222,0.0001,0.000001,0.000308,0.000431,0.000259,0.000480,
conservative_local_adoption,2031,urban_drainage_building_water,731,0.000365,0.000462,0.000277,0.0001,0.000002,0.000385,0.000539,0.000323,0.000600,
conservative_local_adoption,2032,urban_drainage_building_water,889,0.000445,0.000562,0.000337,0.0002,0.000002,0.000468,0.000655,0.000393,0.000730,
conservative_local_adoption,2033,urban_drainage_building_water,1060,0.000530,0.000670,0.000402,0.0002,0.000002,0.000558,0.000781,0.000469,0.000870,
conservative_local_adoption,2034,urban_drainage_building_water,1245,0.000623,0.000786,0.000472,0.0002,0.000003,0.000655,0.000917,0.000550,0.001022,
conservative_local_adoption,2035,urban_drainage_building_water,1444,0.000722,0.000912,0.000547,0.0002,0.000003,0.000760,0.001064,0.000638,0.001186,
conservative_local_adoption,2036,urban_drainage_building_water,1659,0.000830,0.001048,0.000629,0.0003,0.000004,0.000873,0.001223,0.000734,0.001362,
conservative_local_adoption,2037,urban_drainage_building_water,1892,0.000946,0.001195,0.000717,0.0003,0.000004,0.000996,0.001394,0.000837,0.001554,
conservative_local_adoption,2038,urban_drainage_building_water,2143,0.001071,0.001354,0.000812,0.0004,0.000005,0.001128,0.001579,0.000948,0.001760,
conservative_local_adoption,2039,urban_drainage_building_water,2414,0.001207,0.001525,0.000915,0.0004,0.000005,0.001271,0.001779,0.001067,0.001982,
conservative_local_adoption,2040,urban_drainage_building_water,2707,0.001354,0.001710,0.001026,0.0005,0.000006,0.001425,0.001995,0.001197,0.002223,
conservative_local_adoption,2041,urban_drainage_building_water,3024,0.001512,0.001910,0.001146,0.0005,0.000007,0.001592,0.002228,0.001337,0.002483,
conservative_local_adoption,2042,urban_drainage_building_water,3366,0.001683,0.002126,0.001276,0.0006,0.000007,0.001772,0.002480,0.001488,0.002764,
conservative_local_adoption,2043,urban_drainage_building_water,3736,0.001868,0.002360,0.001416,0.0006,0.000008,0.001967,0.002753,0.001652,0.003068,
conservative_local_adoption,2044,urban_drainage_building_water,4135,0.002067,0.002612,0.001567,0.0007,0.000009,0.002177,0.003047,0.001828,0.003395,
conservative_local_adoption,2045,urban_drainage_building_water,4566,0.002283,0.002884,0.001730,0.0008,0.000010,0.002403,0.003365,0.002019,0.003749,
conservative_local_adoption,2046,urban_drainage_building_water,5032,0.002516,0.003178,0.001907,0.0009,0.000011,0.002649,0.003708,0.002225,0.004132,
conservative_local_adoption,2047,urban_drainage_building_water,5535,0.002767,0.003496,0.002098,0.0009,0.000012,0.002913,0.004079,0.002447,0.004545,
conservative_local_adoption,2048,urban_drainage_building_water,6078,0.003039,0.003839,0.002303,0.0010,0.000013,0.003199,0.004479,0.002687,0.004991,
conservative_local_adoption,2049,urban_drainage_building_water,6665,0.003332,0.004210,0.002526,0.0011,0.000015,0.003508,0.004912,0.002947,0.005473,
conservative_local_adoption,2050,urban_drainage_building_water,7299,0.003649,0.004610,0.002766,0.0012,0.000016,0.003842,0.005379,0.003227,0.005993,
conservative_local_adoption,2026,agricultural_irrigation_canals,250,0.000500,0.000736,0.000479,0.0002,0.000003,0.000631,0.000841,0.000515,0.000957,
conservative_local_adoption,2027,agricultural_irrigation_canals,517,0.001034,0.001522,0.000990,0.0004,0.000005,0.001305,0.001740,0.001066,0.001979,
conservative_local_adoption,2028,agricultural_irrigation_canals,803,0.001606,0.002365,0.001537,0.0007,0.000008,0.002027,0.002703,0.001655,0.003074,
conservative_local_adoption,2029,agricultural_irrigation_canals,1109,0.002218,0.003266,0.002123,0.0010,0.000011,0.002799,0.003732,0.002286,0.004246,
conservative_local_adoption,2030,agricultural_irrigation_canals,1436,0.002872,0.004229,0.002749,0.0012,0.000015,0.003625,0.004833,0.002960,0.005497,
conservative_local_adoption,2031,agricultural_irrigation_canals,1786,0.003572,0.005259,0.003419,0.0015,0.000018,0.004508,0.006011,0.003682,0.006837,
conservative_local_adoption,2032,agricultural_irrigation_canals,2161,0.004322,0.006364,0.004136,0.0019,0.000022,0.005455,0.007273,0.004455,0.008273,
conservative_local_adoption,2033,agricultural_irrigation_canals,2562,0.005124,0.007545,0.004904,0.0022,0.000026,0.006467,0.008622,0.005281,0.009808,
conservative_local_adoption,2034,agricultural_irrigation_canals,2991,0.005982,0.008808,0.005725,0.0026,0.000030,0.007550,0.010066,0.006166,0.011450,
conservative_local_adoption,2035,agricultural_irrigation_canals,3450,0.006900,0.010160,0.006604,0.0030,0.000035,0.008708,0.011611,0.007112,0.013208,
conservative_local_adoption,2036,agricultural_irrigation_canals,3941,0.007882,0.011606,0.007544,0.0034,0.000040,0.009948,0.013264,0.008124,0.015087,
conservative_local_adoption,2037,agricultural_irrigation_canals,4467,0.008934,0.013155,0.008550,0.0038,0.000045,0.011275,0.015034,0.009208,0.017101,
conservative_local_adoption,2038,agricultural_irrigation_canals,5030,0.010060,0.014813,0.009628,0.0043,0.000051,0.012696,0.016929,0.010369,0.019256,
conservative_local_adoption,2039,agricultural_irrigation_canals,5632,0.011264,0.016585,0.010780,0.0049,0.000057,0.014216,0.018955,0.011610,0.021561,
conservative_local_adoption,2040,agricultural_irrigation_canals,6276,0.012552,0.018482,0.012013,0.0054,0.000064,0.015842,0.021122,0.012937,0.024026,
conservative_local_adoption,2041,agricultural_irrigation_canals,6965,0.013930,0.020511,0.013332,0.0060,0.000071,0.017581,0.023441,0.014358,0.026664,
conservative_local_adoption,2042,agricultural_irrigation_canals,7703,0.015406,0.022684,0.014745,0.0066,0.000078,0.019443,0.025925,0.015879,0.029489,
conservative_local_adoption,2043,agricultural_irrigation_canals,8492,0.016984,0.025008,0.016255,0.0073,0.000086,0.021435,0.028580,0.017505,0.032510,
conservative_local_adoption,2044,agricultural_irrigation_canals,9336,0.018672,0.027493,0.017870,0.0080,0.000095,0.023565,0.031421,0.019245,0.035741,
conservative_local_adoption,2045,agricultural_irrigation_canals,10240,0.020480,0.030155,0.019601,0.0088,0.000104,0.025847,0.034463,0.021109,0.039202,
conservative_local_adoption,2046,agricultural_irrigation_canals,11207,0.022414,0.033003,0.021452,0.0097,0.000114,0.028288,0.037717,0.023102,0.042904,
conservative_local_adoption,2047,agricultural_irrigation_canals,12242,0.024484,0.036051,0.023433,0.0105,0.000124,0.030901,0.041201,0.025235,0.046866,
conservative_local_adoption,2048,agricultural_irrigation_canals,13349,0.026698,0.039311,0.025552,0.0115,0.000136,0.033695,0.044926,0.027517,0.051104,
conservative_local_adoption,2049,agricultural_irrigation_canals,14534,0.029068,0.042800,0.027820,0.0125,0.000148,0.036686,0.048914,0.029960,0.055640,
conservative_local_adoption,2050,agricultural_irrigation_canals,15802,0.031604,0.046534,0.030247,0.0136,0.000160,0.039886,0.053182,0.032574,0.060494,
conservative_local_adoption,2026,small_river_micro_hydro,50,0.000500,0.000986,0.000690,0.0003,0.000003,0.000869,0.001104,0.000690,0.001282,
conservative_local_adoption,2027,small_river_micro_hydro,103,0.001030,0.002032,0.001422,0.0006,0.000007,0.001790,0.002274,0.001422,0.002641,
conservative_local_adoption,2028,small_river_micro_hydro,159,0.001590,0.003137,0.002196,0.0010,0.000011,0.002763,0.003510,0.002196,0.004078,
conservative_local_adoption,2029,small_river_micro_hydro,218,0.002180,0.004300,0.003010,0.0014,0.000015,0.003789,0.004812,0.003010,0.005591,
conservative_local_adoption,2030,small_river_micro_hydro,281,0.002810,0.005543,0.003880,0.0017,0.000019,0.004883,0.006203,0.003880,0.007206,
conservative_local_adoption,2031,small_river_micro_hydro,347,0.003470,0.006845,0.004792,0.0022,0.000024,0.006030,0.007660,0.004792,0.008899,
conservative_local_adoption,2032,small_river_micro_hydro,417,0.004170,0.008226,0.005758,0.0026,0.000028,0.007247,0.009205,0.005758,0.010694,
conservative_local_adoption,2033,small_river_micro_hydro,492,0.004920,0.009706,0.006794,0.0031,0.000033,0.008550,0.010861,0.006794,0.012617,
conservative_local_adoption,2034,small_river_micro_hydro,571,0.005710,0.011264,0.007885,0.0035,0.000039,0.009923,0.012605,0.007885,0.014643,
conservative_local_adoption,2035,small_river_micro_hydro,655,0.006550,0.012921,0.009045,0.0041,0.000045,0.011383,0.014459,0.009045,0.016798,
conservative_local_adoption,2036,small_river_micro_hydro,744,0.007440,0.014677,0.010274,0.0046,0.000051,0.012930,0.016424,0.010274,0.019080,
conservative_local_adoption,2037,small_river_micro_hydro,838,0.008380,0.016531,0.011572,0.0052,0.000057,0.014563,0.018499,0.011572,0.021491,
conservative_local_adoption,2038,small_river_micro_hydro,938,0.009380,0.018504,0.012953,0.0058,0.000064,0.016301,0.020707,0.012953,0.024055,
conservative_local_adoption,2039,small_river_micro_hydro,1044,0.010440,0.020595,0.014416,0.0065,0.000071,0.018143,0.023047,0.014416,0.026773,
conservative_local_adoption,2040,small_river_micro_hydro,1157,0.011570,0.022824,0.015977,0.0072,0.000079,0.020107,0.025541,0.015977,0.029671,
conservative_local_adoption,2041,small_river_micro_hydro,1276,0.012760,0.025172,0.017620,0.0079,0.000087,0.022175,0.028168,0.017620,0.032723,
conservative_local_adoption,2042,small_river_micro_hydro,1403,0.014030,0.027677,0.019374,0.0087,0.000095,0.024382,0.030972,0.019374,0.035980,
conservative_local_adoption,2043,small_river_micro_hydro,1537,0.015370,0.030320,0.021224,0.0096,0.000105,0.026711,0.033930,0.021224,0.039416,
